[background-preinit] INFO  | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 8.0.2.Final (Version.java:21)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/agents", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.administrativeAgent.AdministrativeAgentController#getAllAgents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#getAllStudents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | POST "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#addStudent(StudentRequest) (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor | Read "application/json;charset=UTF-8" to [com.isi.scolaire.student.StudentRequest@4e01e532] (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [com.isi.scolaire.student.StudentResponse@24ec640d] (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 201 CREATED (FrameworkServlet.java:1138)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#getAllStudents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[com.isi.scolaire.student.StudentResponse@3171cf80]] (LogFormatUtils.java:120)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.DispatcherServlet            | POST "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#addStudent(StudentRequest) (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor | Read "application/json;charset=UTF-8" to [com.isi.scolaire.student.StudentRequest@3658abaf] (LogFormatUtils.java:120)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [com.isi.scolaire.student.StudentResponse@3cdb96bc] (LogFormatUtils.java:120)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 201 CREATED (FrameworkServlet.java:1138)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#getAllStudents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[com.isi.scolaire.student.StudentResponse@37ca5fcd, com.isi.scolaire.student.StudentResponse@7475c84 (truncated)...] (LogFormatUtils.java:120)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.DispatcherServlet            | POST "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#addStudent(StudentRequest) (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor | Read "application/json;charset=UTF-8" to [com.isi.scolaire.student.StudentRequest@62cecc3b] (LogFormatUtils.java:120)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [com.isi.scolaire.student.StudentResponse@402de7af] (LogFormatUtils.java:120)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 201 CREATED (FrameworkServlet.java:1138)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#getAllStudents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[com.isi.scolaire.student.StudentResponse@60aea670, com.isi.scolaire.student.StudentResponse@2f8ffe9 (truncated)...] (LogFormatUtils.java:120)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-3] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/teachers", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-3] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.teacher.TeacherController#getAllTeachers() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-3] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-3] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-3] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.DispatcherServlet            | POST "/teachers", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.teacher.TeacherController#addTeacher(TeacherRequest) (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor | Read "application/json;charset=UTF-8" to [com.isi.scolaire.teacher.TeacherRequest@7b019139] (LogFormatUtils.java:120)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [com.isi.scolaire.teacher.TeacherResponse@191f65fb] (LogFormatUtils.java:120)
[http-nio-8092-exec-5] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 201 CREATED (FrameworkServlet.java:1138)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/teachers", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.teacher.TeacherController#getAllTeachers() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[com.isi.scolaire.teacher.TeacherResponse@2ba22879]] (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.DispatcherServlet            | POST "/teachers", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.teacher.TeacherController#addTeacher(TeacherRequest) (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestResponseBodyMethodProcessor | Read "application/json;charset=UTF-8" to [com.isi.scolaire.teacher.TeacherRequest@2c2ef9b4] (LogFormatUtils.java:120)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [com.isi.scolaire.teacher.TeacherResponse@146d17fc] (LogFormatUtils.java:120)
[http-nio-8092-exec-7] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 201 CREATED (FrameworkServlet.java:1138)
[http-nio-8092-exec-1] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/teachers", parameters={} (LogFormatUtils.java:120)
